Date,Region,Market,Store Type,Product Category,Collection Type,Product Family,SKU,Units Sold,Revenue,Average Selling Price,Inventory Units,Sell Through Rate,Gross Margin %,Return Rate,Customer Segment,Channel,Visual Merchandising Score,Stockout Flag,Promotion Flag
2023-03-10,Asia-Pacific,Japan,E-commerce,Leather Goods,Seasonal,Handbag,LX-LE-01000,17,30949.19,1828.77,4,0.7983,0.6694,0.1646,New Client,E-commerce,6.7,0,0
2024-07-08,Asia-Pacific,Japan,Department Store,Accessories,Runway,Belt,LX-AC-01001,6,4940.24,824.61,4,0.5992,0.7347,0.2104,New Client,E-commerce,6.9,0,0
2024-05-03,Europe,Italy,Boutique,Women's Shoes,Core,Boot,LX-WO-01002,23,23298.4,1028.4,6,0.7756,0.6073,0.1802,Returning Client,E-commerce,6.0,0,1
2023-01-28,Asia-Pacific,South Korea,Department Store,Leather Goods,Limited Edition,Tote,LX-LE-01003,3,5910.66,2434.2,0,0.9443,0.7281,0.1867,Returning Client,E-commerce,6.5,1,1
2023-02-12,Europe,France,E-commerce,Leather Goods,Core,Clutch,LX-LE-01004,29,56648.77,1950.48,9,0.7505,0.63,0.1054,High Value,Retail,7.1,0,0
2023-11-22,North America,USA,Flagship,Accessories,Seasonal,Belt,LX-AC-01005,20,15507.38,741.98,5,0.7999,0.706,0.0788,Returning Client,Retail,10.0,0,0
2024-08-13,Europe,France,Flagship,Leather Goods,Seasonal,Clutch,LX-LE-01006,22,49361.91,2223.71,8,0.7264,0.689,0.0434,High Value,Retail,7.6,0,0
2023-05-05,Europe,Italy,Flagship,Women's Shoes,Seasonal,Sneaker,LX-WO-01007,18,21330.05,1164.05,12,0.5969,0.6194,0.2179,New Client,E-commerce,8.2,0,0
2024-08-26,North America,USA,Boutique,Leather Goods,Core,Wallet,LX-LE-01008,10,18565.9,1807.78,3,0.7424,0.6896,0.0691,New Client,Retail,8.8,0,1
2024-02-10,Middle East,UAE,Flagship,Women's Shoes,Core,Pump,LX-WO-01009,24,29960.32,1194.59,8,0.7371,0.5999,0.141,Returning Client,E-commerce,10.0,0,0
2023-10-27,Asia-Pacific,China,E-commerce,Women's Shoes,Core,Boot,LX-WO-01010,12,10746.82,933.37,3,0.7834,0.5674,0.1926,New Client,E-commerce,4.3,0,0
2024-01-01,Europe,France,Department Store,Men's Shoes,Runway,Loafer,LX-ME-01011,29,34296.44,1148.19,14,0.6707,0.6049,0.048,High Value,Retail,9.0,0,0
2023-04-07,Asia-Pacific,China,Flagship,Leather Goods,Runway,Handbag,LX-LE-01012,17,54248.9,3116.32,8,0.6744,0.6564,0.0456,Returning Client,Retail,8.6,0,0
2023-07-30,Middle East,UAE,Department Store,Leather Goods,Limited Edition,Wallet,LX-LE-01013,12,56121.46,3517.1,1,0.8875,0.7291,0.0447,VIC,Retail,7.3,0,0
2023-02-18,Europe,UK,Department Store,Accessories,Core,Jewellery,LX-AC-01014,10,6548.76,666.88,3,0.7166,0.6999,0.0514,Returning Client,Retail,5.8,0,1
2024-08-09,Europe,France,Flagship,Women's Shoes,Core,Pump,LX-WO-01015,18,21444.06,1180.71,10,0.6255,0.6042,0.1628,Returning Client,E-commerce,7.6,0,0
2024-09-03,North America,USA,Flagship,Women's Shoes,Core,Sneaker,LX-WO-01016,35,41434.66,1154.41,8,0.7968,0.6367,0.0454,New Client,Retail,8.7,0,0
